Time,Temperature,Humidity
6:00 PM,30°C,58 %
6:30 PM,30°C,58 %
7:00 PM,28.9°C,58 %
7:30 PM,28.9°C,58 %
8:00 PM,28.9°C,58 %
8:30 PM,28.9°C,58 %
9:00 PM,28.9°C,58 %
9:30 PM,28.9°C,58 %
10:00 PM,28.9°C,58 %
10:30 PM,28.9°C,58 %
11:00 PM,28.9°C,58 %
12:30 AM,28.9°C,58 %
1:00 AM,28.9°C,58 %
1:30 AM,28.9°C,58 %
2:00 AM,30°C,58 %
2:30 AM,30°C,59 %
3:00 AM,31.1°C,59 %
3:30 AM,31.1°C,59 %
4:00 AM,32.2°C,59 %
4:30 AM,32.2°C,59 %
5:00 AM,32.2°C,59 %
5:30 AM,32.8°C,59 %
6:00 AM,32.8°C,59 %
5:30 AM,32.8°C,59 %
6:00 AM,33.9°C,59 %
6:30 AM,33.9°C,59 %
7:00 AM,33.9°C,59 %
7:30 AM,33.9°C,58 %
8:00 AM,33.9°C,58 %
8:30 AM,32.8°C,58 %
9:00 AM,33.9°C,58 %
9:30 AM,32.8°C,58 %
10:00 AM,32.8°C,58 %
10:30 AM,32.2°C,58 %
11:00 AM,32.2°C,58 %
11:30 AM,31.1°C,58 %
12:00 PM,31.1°C,58 %
12:30 PM,30°C,58 %
1:00 PM,30°C,58 %
1:30 PM,30°C,58 %
2:00 PM,30°C,58 %
2:30 PM,30°C,58 %
3:00 PM,30°C,62 %
3:30 PM,30°C,62 %
4:00 PM,30°C,62 %
4:30 PM,28.9°C,62 %
5:00 PM,28.9°C,62 %
5:30 PM,28.9°C,62 %
6:00 PM,28.9°C,62 %
6:30 PM,28.9°C,62 %
7:00 PM,28.9°C,62 %
7:30 PM,28.9°C,62 %
8:00 PM,28.9°C,62 %
8:30 PM,28.9°C,62 %
9:00 PM,28.9°C,62 %
9:30 PM,28.9°C,62 %
10:00 PM,28.9°C,58 %
10:30 PM,27.8°C,58 %
11:00 PM,27.8°C,58 %
12:30 AM,27.8°C,58 %
1:00 AM,27.8°C,58 %
1:30 AM,27.8°C,58 %
2:00 AM,27.8°C,58 %
2:30 AM,27.8°C,58 %
3:00 AM,28.9°C,58 %
3:30 AM,30°C,58 %
4:00 AM,30°C,58 %
4:30 AM,31.1°C,58 %
5:00 AM,32.8°C,58 %
5:30 AM,33.9°C,58 %
6:00 AM,33.9°C,60 %
5:30 AM,33.9°C,60 %
6:00 AM,33.9°C,60 %
6:30 AM,33.9°C,60 %
7:00 AM,33.9°C,60 %
7:30 AM,33.9°C,60 %
8:00 AM,33.9°C,60 %
8:30 AM,33.9°C,60 %
9:00 AM,33.9°C,60 %
9:30 AM,32.8°C,60 %
10:00 AM,32.8°C,58 %
10:30 AM,32.8°C,58 %
11:00 AM,32.2°C,58 %
11:30 AM,32.2°C,58 %
12:00 PM,31.1°C,58 %
12:30 PM,31.1°C,58 %
1:00 PM,31.1°C,58 %
1:30 PM,31.1°C,58 %
2:00 PM,30°C,58 %
2:30 PM,30°C,58 %
3:00 PM,30°C,58 %
3:30 PM,30°C,58 %
4:00 PM,30°C,61 %
4:30 PM,30°C,61 %
5:00 PM,30°C,61 %
5:30 PM,30°C,61 %
6:00 PM,30°C,61 %
6:30 PM,30°C,61 %
7:00 PM,30°C,61 %
7:30 PM,30°C,61 %
8:00 PM,30°C,61 %
8:30 PM,30°C,61 %
9:00 PM,28.9°C,61 %
9:30 PM,28.9°C,61 %
10:00 PM,27.8°C,61 %
10:30 PM,27.8°C,61 %
11:00 PM,27.8°C,58 %
